m,y,p,c,u,lat,lng,t
340,1898,"Mariaville","US","15419",42.71667,-99.38333,"Iron"
100.7,1898,"Mjelleim","NO","16707",61.73333,5.93333,"H"
330000,1899,"Bjurb̦le","FI","5064",60.4,25.8,"L/LL4"
32000,1899,"Allegan","US","2276",42.53333,-85.88333,"H5"
5000,1899,"Magnesia","TR","15386",37.86667,27.51667,"Iron, IAB-sHL"
300,1899,"Rancho de la Presa","MX","22390",19.86667,-100.81667,"H5"
230,1899,"Donga Kohrod","IN","7707",21.86667,82.45,"H6"
165,1899,"Peramiho","TZ","18792",-10.66667,35.5,"Eucrite-mmict"
37500,1900,"N'Goureyma","ML","16968",13.85,-4.38333,"Iron, ungrouped"
9251,1900,"Alexandrovsky","UA","465",50.95,31.81667,"H4"
3750,1900,"Ofehértó","HU","17990",47.88333,22.03333,"L6"
3200,1900,"Felix","US","10081",32.53333,-87.16667,"CO3.3"
700,1900,"Leonovka","UA","12765",52.26667,32.85,"L6"
240,1900,"Forsbach","DE","10163",50.95,7.31667,"H6"
127,1900,"Emmaville","AU","10033",-29.46667,151.61667,"Eucrite-mmict"
121.5,1900,"Ovambo","NA","18055",-18,16,"L6"
57900,1901,"Phillips County (stone)","US","18808",40,-99.25,"L6"
14000,1901,"Hvittis","FI","11989",61.18333,22.68333,"EL6"
8400,1901,"Sindhri","PK","23611",26.21667,69.55,"H5"
705,1901,"Chervettaz","CH","5341",46.55,6.81667,"L5"
86000,1902,"Bath Furnace","US","4975",38.25,-83.75,"L6"
45000,1902,"Marjalahti","RU","15426",61.5,30.5,"Pallasite, PMG"
11300,1902,"Mount Browne","AU","16766",-29.8,141.7,"H6"
4255,1902,"Crumlin","GB","5477",54.61667,-6.21667,"L5"
1293,1902,"Kamsagar","IN","12241",14.18333,75.8,"L6"
780,1902,"Achiras","AR","370",-33.16667,-64.95,"L6"
8,1902,"Caratash","TR","5265",38.5,27,"LL6"
48000,1903,"Jackalsfontein","ZA","12065",-32.5,21.9,"L6"
40000,1903,"Uberaba","BR","24096",-19.81667,-48.78333,"H5"
13780,1903,"St. Mark's","ZA","23090",-32.01667,27.41667,"EH5"
3840,1903,"Dokachi","BD","7658",23.5,90.33333,"H5"
1004,1903,"Valdinizza","IT","24145",44.86667,9.15,"L6"
