place,nametype,type_of_meteorite,g_mass,fell_found,year,id,latitude,longitude
Gnadenfrei,Valid,H5,1750,Fell,1879,10936,50.666670,16.766670
Gopalpur,Valid,H6,1600,Fell,1865,10948,24.233330,89.050000
Gorlovka,Valid,H3.7,3618,Fell,1974,10949,48.283330,38.083330
Granes,Valid,L6,9000,Fell,1964,10956,42.900000,2.250000
Grefsheim,Valid,L5,45.5,Fell,1976,11196,60.666670,11.000000
Grimsby,Valid,H5,215,Fell,2009,50911,43.200000,-79.616670
Grosnaja,Valid,CV3,3500,Fell,1861,11206,43.666670,45.383330
Gross-Divina,Valid,H5,10500,Fell,1837,11207,49.266670,18.716670
Grossliebenthal,Valid,L6,8000,Fell,1881,11208,46.350000,30.583330
Grüneberg,Valid,H4,1000,Fell,1841,11426,51.933330,15.500000
Grzempach,Valid,H5,690,Fell,1910,11429,52.866670,16.633330
Gualeguaychú,Valid,H6,22000,Fell,1932,11432,-33.000000,-58.616670
Guangmingshan,Valid,H5,2910,Fell,1996,11435,39.804170,122.763890
Guangnan,Valid,L6,,Fell,1983,11436,24.100000,105.000000
Guangrao,Valid,L6,1900,Fell,1980,11437,37.100000,118.400000
Guareña,Valid,H6,39000,Fell,1892,11439,38.733330,-6.016670
Guêa,Valid,Stone-uncl,1915,Fell,1891,11440,43.766670,20.233330
Guibga,Valid,L5,288,Fell,1972,11442,13.500000,-0.683330
Guidder,Valid,LL5,968,Fell,1949,11443,9.916670,13.983330
Gujargaon,Valid,H5,2449,Fell,1982,11448,22.983330,76.050000
Gujba,Valid,CBa,100000,Fell,1984,11449,11.491670,11.658330
Gumoschnik,Valid,H5,5700,Fell,1904,11450,42.900000,24.700000
Gurram Konda,Valid,L6,28,Fell,1814,11464,13.783330,78.566670
Gursum,Valid,H4/5,34650,Fell,1981,11465,9.366670,42.416670
Gütersloh,Valid,H3/4,1000,Fell,1851,11466,51.916670,8.383330
Gyokukei,Valid,OC,1320,Fell,1930,11467,35.000000,127.500000
Hachi-oji,Valid,H?,0.2,Fell,1817,11468,35.650000,139.333330
Hainaut,Valid,H3-6,9000,Fell,1934,11472,50.316670,3.733330
Hallingeberg,Valid,L3.4,1456,Fell,1944,11479,57.816670,16.233330
Hamlet,Valid,LL4,3710,Fell,1959,11485,41.383330,-86.600000
Haraiya,Valid,Eucrite-mmict,1000,Fell,1878,11824,26.800000,82.533330
Haripura,Valid,CM2,315,Fell,1921,11829,28.383330,75.783330
Harleton,Valid,L6,8360,Fell,1961,11830,32.675000,-94.511670
